"id","code","name","level_id","parent_id","path"
"55360",NULL,"Nyamkeria C","5","1248","1.43.250.1248."
"55361",NULL,"Nyamnyama","5","1245","1.43.250.1245."
"55362",NULL,"Nthangathini","5","334","1.15.67.334."
"55363",NULL,"Nyakoyo","5","1244","1.43.249.1244."
"55364",NULL,"Nyakoria B","5","1258","1.43.252.1258."
"55365",NULL,"Nyabola","5","1248","1.43.250.1248."
"55366",NULL,"Nyabola","5","1250","1.43.250.1250."
"55367",NULL,"Nyabola","5","1245","1.43.250.1245."
"55368",NULL,"Nyabolakoyolo","5","1238","1.43.248.1238."
"55369",NULL,"Nyabomo","5","1259","1.43.252.1259."
